metric,count
opcode,8
total instruction count,11000717
freedom to reorder,6.99941
resource pressure,1.00019
workitems,1000000
operand sum,1.10007e+07
total # of barriers hit,0
min instructions to barrier,11
max instructions to barrier,302
median instructions to barrier,11
min instructions executed by a work-item,11
max instructions executed by a work-item,302
median instructions executed by a work-item,11
max simd width,1
mean simd width,1
stdev simd width,0
granularity,9.09032e-08
barriers per instruction,9.09032e-08
instructions per operand,1
total memory footprint,1000109
90% memory footprint,900091
global memory address entropy,19.8278
local memory address entropy -- 1 LSBs skipped,16.9225
local memory address entropy -- 2 LSBs skipped,16.9225
local memory address entropy -- 3 LSBs skipped,16.9225
local memory address entropy -- 4 LSBs skipped,15.9215
local memory address entropy -- 5 LSBs skipped,14.9339
local memory address entropy -- 6 LSBs skipped,13.9348
local memory address entropy -- 7 LSBs skipped,12.9319
local memory address entropy -- 8 LSBs skipped,11.9328
local memory address entropy -- 9 LSBs skipped,10.9334
local memory address entropy -- 10 LSBs skipped,9.93358
total unique branch instructions,4
90% branch instructions,2
branch entropy (yokota),11.75
branch entropy (average linear),5.43751e-06
