metric,count
opcode,9
total instruction count,140727559
freedom to reorder,16.1596
resource pressure,5.01513
workitems,1000000
operand sum,1.40728e+08
total # of barriers hit,2000000
min instructions to barrier,16
max instructions to barrier,5144
median instructions to barrier,36
min instructions executed by a work-item,1619
max instructions executed by a work-item,6692
median instructions executed by a work-item,4349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,7.10593e-09
barriers per instruction,0.0142119
instructions per operand,1
total memory footprint,1145739
90% memory footprint,644226
global memory address entropy,16.8974
local memory address entropy -- 1 LSBs skipped,11.8561
local memory address entropy -- 2 LSBs skipped,11.8562
local memory address entropy -- 3 LSBs skipped,11.856
local memory address entropy -- 4 LSBs skipped,11.8546
local memory address entropy -- 5 LSBs skipped,11.6198
local memory address entropy -- 6 LSBs skipped,11.3546
local memory address entropy -- 7 LSBs skipped,11.0559
local memory address entropy -- 8 LSBs skipped,10.706
local memory address entropy -- 9 LSBs skipped,10.4032
local memory address entropy -- 10 LSBs skipped,10.1385
total unique branch instructions,8
90% branch instructions,6
branch entropy (yokota),3030.58
branch entropy (average linear),0.117567
