metric,count
opcode,8
total instruction count,11001421
freedom to reorder,6.99957
resource pressure,1.00026
workitems,1000000
operand sum,1.10014e+07
total # of barriers hit,0
min instructions to barrier,11
max instructions to barrier,60
median instructions to barrier,11
min instructions executed by a work-item,11
max instructions executed by a work-item,60
median instructions executed by a work-item,11
max simd width,1
mean simd width,1
stdev simd width,0
granularity,9.08973e-08
barriers per instruction,9.08973e-08
instructions per operand,1
total memory footprint,1000174
90% memory footprint,900148
global memory address entropy,19.8293
local memory address entropy -- 1 LSBs skipped,16.9239
local memory address entropy -- 2 LSBs skipped,16.9239
local memory address entropy -- 3 LSBs skipped,16.9239
local memory address entropy -- 4 LSBs skipped,15.9228
local memory address entropy -- 5 LSBs skipped,14.9352
local memory address entropy -- 6 LSBs skipped,13.934
local memory address entropy -- 7 LSBs skipped,12.932
local memory address entropy -- 8 LSBs skipped,11.9332
local memory address entropy -- 9 LSBs skipped,10.9341
local memory address entropy -- 10 LSBs skipped,9.93438
total unique branch instructions,4
90% branch instructions,2
branch entropy (yokota),11.2044
branch entropy (average linear),5.29977e-05
