metric,count
opcode,9
total instruction count,12329117
freedom to reorder,6.72445
resource pressure,1.23606
workitems,1000000
operand sum,1.23291e+07
total # of barriers hit,0
min instructions to barrier,11
max instructions to barrier,222
median instructions to barrier,11
min instructions executed by a work-item,11
max instructions executed by a work-item,222
median instructions executed by a work-item,11
max simd width,1
mean simd width,1
stdev simd width,0
granularity,8.11088e-08
barriers per instruction,8.11088e-08
instructions per operand,1
total memory footprint,1153372
90% memory footprint,1029766
global memory address entropy,20.1424
local memory address entropy -- 1 LSBs skipped,17.4632
local memory address entropy -- 2 LSBs skipped,17.4632
local memory address entropy -- 3 LSBs skipped,17.4632
local memory address entropy -- 4 LSBs skipped,16.5862
local memory address entropy -- 5 LSBs skipped,15.7262
local memory address entropy -- 6 LSBs skipped,14.8527
local memory address entropy -- 7 LSBs skipped,13.9707
local memory address entropy -- 8 LSBs skipped,13.0803
local memory address entropy -- 9 LSBs skipped,12.172
local memory address entropy -- 10 LSBs skipped,11.2427
total unique branch instructions,4
90% branch instructions,2
branch entropy (yokota),903.201
branch entropy (average linear),0.0323366
