metric,count
opcode,9
total instruction count,140834743
freedom to reorder,16.2499
resource pressure,4.99234
workitems,1000000
operand sum,1.40835e+08
total # of barriers hit,2000000
min instructions to barrier,16
max instructions to barrier,5144
median instructions to barrier,36
min instructions executed by a work-item,1640
max instructions executed by a work-item,6692
median instructions executed by a work-item,4356
max simd width,1
mean simd width,1
stdev simd width,0
granularity,7.10052e-09
barriers per instruction,0.014201
instructions per operand,1
total memory footprint,1223439
90% memory footprint,724206
global memory address entropy,17.2164
local memory address entropy -- 1 LSBs skipped,12.1842
local memory address entropy -- 2 LSBs skipped,12.1843
local memory address entropy -- 3 LSBs skipped,12.1844
local memory address entropy -- 4 LSBs skipped,12.184
local memory address entropy -- 5 LSBs skipped,11.9571
local memory address entropy -- 6 LSBs skipped,11.6912
local memory address entropy -- 7 LSBs skipped,11.3875
local memory address entropy -- 8 LSBs skipped,11.0167
local memory address entropy -- 9 LSBs skipped,10.675
local memory address entropy -- 10 LSBs skipped,10.3509
total unique branch instructions,8
90% branch instructions,6
branch entropy (yokota),844.098
branch entropy (average linear),0.114773
